timeClose,close,volume,marketCap
2024-04-13T23:59:59.999Z,63821.474,52869738184.63,1256414309701.84
2024-04-14T23:59:59.999Z,65738.724,49084320047,1293922154520.65
2024-04-15T23:59:59.999Z,63426.210,43595917653.69,1248326445647.25
2024-04-16T23:59:59.999Z,63811.864,42847528078.04,1256510316191.79
2024-04-17T23:59:59.999Z,61276.693,41915247048.65,1206240184790.7
2024-04-18T23:59:59.999Z,63512.753,36006307334.72,1250301972763.52
2024-04-19T23:59:59.999Z,63843.569,49920425400.63,1257063743135.06
2024-04-20T23:59:59.999Z,64994.440,23097485494.81,1279569409422.42
2024-04-21T23:59:59.999Z,64926.643,20506644853.02,1278296008665.19
2024-04-22T23:59:59.999Z,66837.676,28282686673.3,1315994975669.26
2024-04-23T23:59:59.999Z,66407.272,24310975583.48,1307512895862.02
2024-04-24T23:59:59.999Z,64276.897,30276655120.02,1265561280453.39
2024-04-25T23:59:59.999Z,64481.707,32155786816.01,1269733248757.26
2024-04-26T23:59:59.999Z,63755.321,24139372950.15,1255299007879.53
2024-04-27T23:59:59.999Z,63419.141,19530783038.96,1248878755079.36
2024-04-28T23:59:59.999Z,63113.232,17334827992.62,1242661116273.87
2024-04-29T23:59:59.999Z,63841.120,26635912073.23,1257121259561.43
2024-04-30T23:59:59.999Z,60636.857,37840840057.21,1193544962108.24
2024-05-01T23:59:59.999Z,58254.010,48439780271.06,1147184157457.92
2024-05-02T23:59:59.999Z,59123.432,32711813559.09,1164330817512.3
2024-05-03T23:59:59.999Z,62889.837,33172023048.2,1238554321094.73
2024-05-04T23:59:59.999Z,63891.473,20620477991.84,1258304781123.06
2024-05-05T23:59:59.999Z,64031.133,18296164805.46,1261203911121.78
2024-05-06T23:59:59.999Z,63161.950,28697928697.49,1243984877329.17
2024-05-07T23:59:59.999Z,62334.818,25930730981.56,1227659657662.19
2024-05-08T23:59:59.999Z,61187.941,26088172222.01,1205202182090.81
2024-05-09T23:59:59.999Z,63049.959,25453338160.85,1241942293192.66
2024-05-10T23:59:59.999Z,60792.777,27804954694.22,1197421098168.55
2024-05-11T23:59:59.999Z,60793.710,13842272967.56,1197453013828.78
2024-05-12T23:59:59.999Z,61448.395,13800459404.7,1210435745366.84
2024-05-13T23:59:59.999Z,62901.447,27889181179.46,1239017433570.39
2024-05-14T23:59:59.999Z,61552.790,28186271527.17,1212512959206.07
2024-05-15T23:59:59.999Z,66267.491,39815167073.5,1305166889303.51
2024-05-16T23:59:59.999Z,65231.580,31573077993.8,1285007856222.27
2024-05-17T23:59:59.999Z,67051.875,28031279309.72,1321187121526.77
2024-05-18T23:59:59.999Z,66940.804,16712277405.88,1318742415299.47
2024-05-19T23:59:59.999Z,66278.370,19249094537.72,1305732230286.08
2024-05-20T23:59:59.999Z,71448.195,43850655717.06,1407508223127.28
2024-05-21T23:59:59.999Z,70136.531,46932005990.29,1381774907494.93
2024-05-22T23:59:59.999Z,69122.339,32802561717.06,1361828325233.73
2024-05-23T23:59:59.999Z,67929.563,41895680979.35,1338341012691.15
2024-05-24T23:59:59.999Z,68526.098,29197308152.62,1350188278440.89
2024-05-25T23:59:59.999Z,69265.943,15473071741.05,1364748567456.59
2024-05-26T23:59:59.999Z,68518.090,15628433736.91,1349968658779.99
2024-05-27T23:59:59.999Z,69394.553,25870990716.7,1367374775956.02
2024-05-28T23:59:59.999Z,68296.222,32722265965.17,1345757548563.5
2024-05-29T23:59:59.999Z,67578.093,26707072905.64,1331600056889.42
2024-05-30T23:59:59.999Z,68364.990,29509712533.79,1347131845678.66
2024-05-31T23:59:59.999Z,67489.612,27387283769.48,1329961627933.33
2024-06-01T23:59:59.999Z,67706.937,11641495603.74,1334337260766.87
2024-06-02T23:59:59.999Z,67751.603,17110588415.4,1335227914032.14
2024-06-03T23:59:59.999Z,68804.780,32401285323.51,1355956442572.83
2024-06-04T23:59:59.999Z,70567.769,33149696544.76,1390743617174.58
2024-06-05T23:59:59.999Z,71082.823,32810771409.33,1400900832469.81
2024-06-06T23:59:59.999Z,70757.166,25223152007.14,1394552080469.43
2024-06-07T23:59:59.999Z,69342.587,36188381096.17,1366686633129.09
2024-06-08T23:59:59.999Z,69305.774,14262185861.29,1365997475511.83
2024-06-09T23:59:59.999Z,69647.993,13534028500.18,1372773642949.49
2024-06-10T23:59:59.999Z,69512.280,20597699540.57,1370130002868.6
